"","...1","Species","Family","Relative.Growth.Rate","Mean.absolute.growth.rate","SD.growth.rate","SLA","LA","LDMC","LNC","LPC","WD","Height","Number.of.stems","Median.height","Category"
"41",41,"Garcinia gardneriana","Clusiaceae",0.194197270497523,1.2,1.3,81.28313234,22.9597499999999,449.6481816,1.01,0.07,0.616007408,16,18,8.4,"Understory"
"42",42,"Guapira opposita","Nyctaginaceae",0.201773104437283,1.4,1.4,151.5491904,25.36098646,229.153772,2.78,0.14,0.343043239,20,35,8,"Understory"
"43",43,"Gymnanthes klotzschiana","Euphorbiaceae",0.292528371196306,1.8,2.3,123.3393791,6.90524427399998,435.1812999,1.9,0.12,0.510100049,20,430,8,"Understory"
"44",44,"Helietta apiculata","Rutaceae",0.239498791492611,2.7,1.8,106.2822492,7.01001031900001,360.7371845,2.2,0.17,0.700245328,25,23,20,"Canopy"
"45",45,"Hieronyma alchorneoides","Phyllanthaceae",0.221475662738146,4.2,4.2,84.29977451,145.089696000001,274.0029508,1.69,0.12,0.664518652,24,83,14.3,"Canopy"
"46",46,"Hirtella hebeclada","Chrysobalanaceae",0.195863167097533,1.4,1,62.5625498,37.1204777799998,415.9342045,1.62,0.19,0.72,20,11,13.7,"Canopy"
"47",47,"Ilex dumosa","Aquifoliaceae",0.235357150221266,2.7,3,31.90943298,6.15671111100001,498.4861681,1.1,0.06,0.465879583,22,33,9,"Understory"
"48",48,"Ilex microdonta","Aquifoliaceae",0.249279944308106,2.1,2.2,59.0004483,7.69941038899997,415.4824808,1.45,0.07,0.699438585375,17,271,10,"Canopy"
"49",49,"Ilex paraguariensis","Aquifoliaceae",0.226231850866691,2.1,2,58.66869041,13.23442643,404.0474402,1.35,0.12,0.452712588976744,15,39,9.5,"Understory"
"50",50,"Ilex theezans","Aquifoliaceae",0.245043675454894,1.5,1.5,58.39822715,20.5546099999999,388.486944,1.1,0.07,0.596531290888889,20,55,8,"Understory"
"51",51,"Jacaranda puberula","Bignoniaceae",0.254931066865153,2.3,2.3,97.06291113,2.90413,428.6838026,1.92,0.17,0.361210369727273,19,268,8,"Understory"
"52",52,"Lamanonia ternata","Cunoniaceae",0.258104548614233,3.9,4.2,133.0939056,15.89517488,365.9114504,1.03,0.1,0.507482351181818,25,81,10,"Canopy"
"53",53,"Laplacea acutifolia","Theaceae",0.203487360948869,3,2.3,80.6405501,7.68985323700001,342.187943,1.55,0.07,0.57,16,11,10,"Canopy"
"54",54,"Lithraea brasiliensis","Anacardiaceae",0.260204795583241,2.8,3.1,91.73324222,8.12720927800001,426.4021676,1.4,0.13,0.67196989790625,25,352,9,"Understory"
"55",55,"Luehea divaricata","Malvaceae",0.467847632965797,4.6,4.5,134.9315743,31.38922022,397.3388844,1.68,0.23,0.509034050636364,27,57,16,"Canopy"
"56",56,"Machaerium paraguariense","Fabaceae",0.336524046750989,1.7,2.9,138.4389137,8.44666175199998,360.7060114,3.9,0.24,0.541076377909091,23,63,9,"Understory"
"57",57,"Matayba elaeagnoides","Sapindaceae",0.235776668183265,2,2.5,124.5965806,13.96050326,332.2734323,1.98,0.18,0.535954118428571,26,690,10,"Canopy"
"58",58,"Meliosma sellowii","Sabiaceae",0.189534581124314,1.7,2.7,158.9498066,42.5581777800001,290.4048955,1.23,0.1,0.475258073,19,16,9.5,"Understory"
"59",59,"Miconia cinnamomifolia","Melastomataceae",0.229757153891116,5.6,3.3,79.55464285,15.26487333,321.2596172,1.38,0.06,0.615989723,21,12,17.2,"Canopy"
"60",60,"Mollinedia schottiana","Monimiaceae",0.200506588111551,1.1,1.3,236.3790694,33.3598513899999,283.6511915,1.87,0.18,0.588501275,22,39,6,"Understory"
"61",61,"Moquiniastrum polymorphum","Asteraceae",0.27417340560133,5,7.9,94.51315311,9.62605545499996,412.2502875,1.8,0.15,0.445812837,14.4,18,10,"Canopy"
"62",62,"Muellera campestris","Fabaceae",0.503999445478454,1.7,2.4,185.5118514,5.60397594699998,418.2914463,2.8,0.14,0.692387430727273,26,92,7.5,"Understory"
"63",63,"Myrceugenia glaucescens","Myrtaceae",0.253146869468638,1.7,1.7,67.14800581,5.43376936499998,448.2056533,1.1,0.08,0.581206077333333,26,21,5,"Understory"
"64",64,"Myrceugenia mesomischa","Myrtaceae",0.204705421421447,1.6,2.3,116.0296735,5.96929435199997,410.5439366,1.6,0.08,0.651837887142857,10.5,54,7,"Understory"
"65",65,"Myrceugenia miersiana","Myrtaceae",0.217322222071264,1.5,2.5,101.080858,13.9670700899999,388.7507751,1.45,0.13,0.604719042666667,11,62,7,"Understory"
"66",66,"Myrceugenia myrcioides","Myrtaceae",0.210956505515554,1.5,2.6,97.37,17.0300000000001,312.121,1.74,0.07,0.505103952,18,178,7,"Understory"
"67",67,"Myrceugenia oxysepala","Myrtaceae",0.2533449566699,1.1,1.3,122.865006,5.95809166699999,344.7757232,1.5,0.11,0.619586539,11,53,5,"Understory"
"68",68,"Myrcia glomerata","Myrtaceae",0.242260294290616,1.3,1,87.449,11.9879,479.1438,1.6,0.08,0.69,16,212,6,"Understory"
"69",69,"Myrcia guianensis","Myrtaceae",0.254202461124189,1.8,1.7,54.0691774,3.740430042,405.2434045,1.21,0.07,0.6852279476,13,74,7.5,"Understory"
"70",70,"Myrcia oblongata","Myrtaceae",0.164498258244544,0.9,1.2,64.72251139,13.72947013,469.6599518,1.1,0.1,0.725970272545455,3,12,3,"Understory"
"71",71,"Myrcia oligantha","Myrtaceae",0.217588437148632,1.3,2.2,83.42676103,2.267162765,396.2899846,1.44,0.06,0.599612843,14,26,6,"Understory"
"72",72,"Myrcia palustris","Myrtaceae",0.262863844622837,1.7,1.4,76.63446378,5.62022977799998,403.7849922,1.2,0.1,0.496527530833333,12.5,105,6,"Understory"
"73",73,"Myrcia retorta","Myrtaceae",0.193417247373596,1.9,2.8,48.66,12.35,476.47,1.51,0.04,0.599612843,16,147,10,"Canopy"
"74",74,"Myrcia splendens","Myrtaceae",0.244263927226541,1.6,2.1,76.76417506,2.453656,464.8016554,1.3,0.12,0.598604729,17.5,58,8,"Understory"
"75",75,"Myrcianthes gigantea","Myrtaceae",0.294547945857086,2.7,2.5,68.70530152,9.64159699999999,444.6632809,2.4,0.09,0.723607945,26,16,13,"Canopy"
"76",76,"Myrcianthes pungens","Myrtaceae",0.269883565266895,4.4,9.2,76.23469474,9.90867941200004,474.3874382,1.1,0.12,0.668087064454545,25,16,9,"Understory"
"77",77,"Myrciaria floribunda","Myrtaceae",0.192541740189697,1.3,1,105.595188,7.64187000000003,475.9069009,1.6,0.07,0.629388596,15,10,9,"Understory"
"78",78,"Myrocarpus frondosus","Fabaceae",0.234819146288108,1.8,1.3,120.7997725,11.7477025,385.0090027,2.9,0.18,0.695046534181818,25,39,10,"Canopy"
"79",79,"Myrrhinium atropurpureum","Myrtaceae",0.255243823084259,1.1,1.1,85.71491814,4.82760333300001,440.9150606,1.5,0.11,0.629388596,14,57,8,"Understory"
